date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2022-10-19,EQ,61.0,65.1,44.2,54.25,65.1,65.1,60.12,65.1,44.2,83987,5049678.75,840,DCI
2022-10-20,EQ,74.9,78.1,72.55,65.1,78.1,78.1,76.85,78.1,44.2,14341,1102167.8,109,DCI
2022-10-21,EQ,93.7,93.7,88.0,78.1,93.7,93.7,93.15,93.7,44.2,38779,3612368.75,473,DCI
2022-10-24,EQ,103.05,103.05,103.05,93.7,103.05,103.05,103.05,103.05,44.2,2748,283181.4,36,DCI
2022-10-25,EQ,113.35,113.35,113.35,103.05,113.35,113.35,113.35,113.35,44.2,3469,393211.15,56,DCI
2022-10-27,EQ,124.65,124.65,102.05,113.35,119.95,117.1,115.27,124.65,44.2,162188,18695553.45,3789,DCI
2022-10-28,EQ,121.9,121.9,105.4,117.1,105.4,105.4,109.36,124.65,44.2,50682,5542482.4,1528,DCI
2022-10-31,EQ,100.0,100.3,94.9,105.4,94.9,94.9,96.56,124.65,44.2,20356,1965589.55,728,DCI
2022-11-01,EQ,95.5,100.0,90.8,94.9,94.5,93.95,94.42,124.65,44.2,21072,1989672.65,662,DCI
2022-11-02,EQ,91.25,103.3,91.25,93.95,103.3,103.3,99.81,124.65,44.2,21700,2165851.85,421,DCI
2022-11-03,EQ,112.5,113.6,104.0,103.3,113.6,113.6,111.73,124.65,44.2,16167,1806317.15,192,DCI
2022-11-04,EQ,123.9,124.95,120.05,113.6,124.95,124.95,124.32,124.95,44.2,46211,5744755.5,684,DCI
2022-11-07,EQ,137.4,137.4,132.1,124.95,137.4,137.4,136.97,137.4,44.2,10131,1387681.85,155,DCI
2022-11-09,EQ,144.2,144.25,144.2,137.4,144.25,144.25,144.23,144.25,44.2,9956,1435978.1,150,DCI
2022-11-10,EQ,147.4,151.45,144.25,144.25,151.45,151.45,148.69,151.45,44.2,10622,1579341.35,167,DCI
2022-11-11,EQ,159.0,159.0,159.0,151.45,159.0,159.0,159.0,159.0,44.2,3686,586074.0,32,DCI
2022-11-14,EQ,166.95,166.95,166.95,159.0,166.95,166.95,166.95,166.95,44.2,3057,510366.15,33,DCI
2022-11-15,EQ,170.0,175.25,170.0,166.95,175.25,175.25,173.29,175.25,44.2,35658,6179023.35,379,DCI
2022-11-16,EQ,174.5,175.25,166.5,175.25,166.5,166.5,169.39,175.25,44.2,10791,1827906.9,306,DCI
2023-02-28,EQ,113.65,122.95,113.55,119.5,115.1,115.0,116.8,175.25,44.2,1294,151143.5,81,DCI
2023-03-01,EQ,115.0,117.85,115.0,115.0,116.0,115.75,115.76,175.25,44.2,356,41210.9,36,DCI
2023-03-02,EQ,115.8,119.4,111.1,115.75,116.9,116.75,114.79,175.25,44.2,1676,192391.4,113,DCI
2023-03-03,EQ,115.25,117.2,110.95,116.75,111.5,114.1,113.34,175.25,44.2,2261,256266.7,139,DCI
2023-03-06,EQ,117.0,117.0,111.95,114.1,115.5,114.65,114.56,175.25,44.2,3878,444273.8,653,DCI
2023-03-08,EQ,113.1,117.65,109.2,114.65,112.0,113.6,115.8,175.25,44.2,2095,242607.75,228,DCI
2023-03-09,EQ,114.5,117.4,110.4,113.6,110.4,112.9,115.24,175.25,44.2,1721,198332.65,155,DCI
2023-03-10,EQ,110.85,115.85,108.5,112.9,115.0,114.9,113.61,175.25,44.2,2431,276174.1,193,DCI
