date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-12-18,EQ,104.0,114.4,104.0,78.0,111.88,111.93,108.5,114.4,104.0,728732202,79066011920.84,2296616,VMM
2024-12-19,EQ,110.0,114.75,104.2,111.93,105.65,105.13,109.2,114.75,104.0,169053505,18460124274.58,743311,VMM
2024-12-20,EQ,105.5,107.99,97.59,105.13,100.75,101.19,101.66,114.75,97.59,118556272,12052518130.54,488584,VMM
2024-12-23,EQ,102.0,103.38,96.7,101.19,101.7,101.94,100.57,114.75,96.7,60189677,6053049612.72,288488,VMM
2024-12-24,EQ,101.0,105.6,99.25,101.94,104.33,104.39,103.05,114.75,96.7,47994254,4945592692.1,186047,VMM
2024-12-26,EQ,105.38,114.15,104.12,104.39,106.5,106.64,109.46,114.75,96.7,101079107,11064149996.76,306352,VMM
2024-12-27,EQ,107.6,107.75,103.1,106.64,105.5,106.14,105.7,114.75,96.7,37553989,3969625307.04,129915,VMM
2024-12-30,EQ,105.1,108.19,103.8,106.14,104.06,104.7,106.12,114.75,96.7,29055112,3083318394.11,111985,VMM
2024-12-31,EQ,103.9,107.0,101.0,104.7,106.51,106.43,104.73,114.75,96.7,24272901,2542157558.97,111032,VMM
2025-01-01,EQ,106.0,106.9,105.02,106.43,105.55,105.91,106.15,114.75,96.7,11689297,1240847109.37,50319,VMM
2025-01-02,EQ,106.0,111.15,105.4,105.91,107.22,107.36,108.34,114.75,96.7,47689604,5166870255.12,261612,VMM
2025-01-03,EQ,109.0,117.34,108.56,107.36,112.5,112.18,113.86,117.34,96.7,112322902,12789413082.63,316679,VMM
2025-01-06,EQ,112.98,113.44,104.11,112.18,105.2,104.84,108.37,117.34,96.7,40015050,4336414347.91,144857,VMM
2025-01-07,EQ,107.0,114.35,106.7,104.84,113.85,113.58,110.74,117.34,96.7,52702210,5836063639.91,164654,VMM
2025-01-08,EQ,113.69,113.79,109.61,113.58,111.27,111.47,111.62,117.34,96.7,28699821,3203339888.59,118568,VMM
2025-01-09,EQ,111.45,116.49,109.5,111.47,111.15,110.94,112.93,117.34,96.7,37520221,4237217342.63,137162,VMM
2025-01-10,EQ,110.9,111.37,107.3,110.94,108.2,108.51,109.11,117.34,96.7,24824477,2708671143.1,83915,VMM
2025-01-13,EQ,105.9,107.6,101.5,108.51,104.02,104.12,104.57,117.34,96.7,24126088,2522884297.14,97752,VMM
2025-01-14,EQ,105.0,108.2,103.56,104.12,106.51,106.48,105.99,117.34,96.7,17068402,1809121448.54,83772,VMM
2025-01-15,EQ,105.0,107.5,102.8,106.48,105.01,105.23,104.79,117.34,96.7,23172682,2428245978.17,100552,VMM
2025-01-16,EQ,108.0,110.3,105.66,105.23,109.11,109.17,108.48,117.34,96.7,18950087,2055629856.25,67778,VMM
2025-01-17,EQ,108.5,110.64,107.51,109.17,109.7,109.84,109.17,117.34,96.7,21152139,2309130738.45,61668,VMM
2025-01-20,EQ,110.59,112.5,108.9,109.84,111.75,111.69,111.43,117.34,96.7,16870634,1879953014.76,75529,VMM
2025-01-21,EQ,112.5,113.95,104.95,111.69,106.21,106.02,108.91,117.34,96.7,21925089,2387912295.16,104922,VMM
2025-01-22,EQ,107.8,107.8,103.65,106.02,105.3,104.98,105.33,117.34,96.7,16650372,1753720306.09,63852,VMM
2025-01-23,EQ,104.98,106.75,104.35,104.98,106.26,105.97,105.87,117.34,96.7,8543848,904568519.52,32505,VMM
2025-01-24,EQ,106.35,106.49,101.76,105.97,102.5,102.81,104.1,117.34,96.7,12517429,1303095675.64,47932,VMM
2025-01-27,EQ,102.97,104.94,99.16,102.81,100.14,99.86,101.28,117.34,96.7,26313193,2664899962.27,124107,VMM
2025-01-28,EQ,101.95,103.45,97.27,99.86,101.75,101.72,100.33,117.34,96.7,24240985,2432045990.96,115740,VMM
2025-01-29,EQ,101.8,106.0,101.8,101.72,105.6,105.66,104.69,117.34,96.7,10325507,1080943908.89,49355,VMM
2025-01-30,EQ,105.7,107.12,104.81,105.66,106.4,106.45,106.25,117.34,96.7,10455428,1110858877.8,46453,VMM
2025-01-31,EQ,106.99,108.5,106.12,106.45,108.0,107.95,107.61,117.34,96.7,8519465,916745478.6,102011,VMM
2025-02-01,EQ,109.9,117.7,103.45,107.95,114.3,115.26,112.57,117.7,96.7,50084706,5637912536.96,185410,VMM
2025-02-03,EQ,113.0,121.7,111.41,115.26,116.49,115.34,117.8,121.7,96.7,66098244,7786699896.32,201514,VMM
