date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,8.0,8.0,7.65,10.1,7.65,7.65,7.83,12.0,2.7,200,1565.0,0,MAHAPEXLTD
2000-01-04,EQ,8.0,8.0,8.0,7.65,8.0,8.0,8.0,12.0,2.7,200,1600.0,0,MAHAPEXLTD
2000-01-05,EQ,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0,2.7,200,1600.0,0,MAHAPEXLTD
2000-01-06,EQ,7.0,7.0,6.0,8.0,6.0,6.0,6.67,12.0,2.7,150,1000.0,0,MAHAPEXLTD
2000-01-07,EQ,7.9,7.9,7.9,6.0,7.9,7.9,7.9,12.0,2.7,50,395.0,0,MAHAPEXLTD
2000-01-10,EQ,5.9,6.0,5.9,7.9,6.0,6.0,5.97,12.0,2.7,300,1790.0,0,MAHAPEXLTD
2000-01-13,EQ,4.0,4.05,4.0,6.0,4.05,4.05,4.01,12.0,2.7,600,2407.5,0,MAHAPEXLTD
2000-01-14,EQ,6.0,6.1,6.0,4.05,6.1,6.1,6.04,12.0,2.7,350,2115.0,0,MAHAPEXLTD
2000-01-20,EQ,7.5,7.5,7.5,6.1,7.5,7.5,7.5,12.0,2.7,50,375.0,0,MAHAPEXLTD
2000-02-01,EQ,6.0,6.0,6.0,7.5,6.0,6.0,6.0,12.0,2.7,100,600.0,0,MAHAPEXLTD
2000-02-07,EQ,8.0,8.0,8.0,6.0,8.0,8.0,8.0,12.0,2.7,100,800.0,0,MAHAPEXLTD
2000-02-08,EQ,7.5,7.5,7.5,8.0,7.5,7.5,7.5,12.0,2.7,50,375.0,0,MAHAPEXLTD
2000-02-10,EQ,7.0,7.5,7.0,7.5,7.1,7.1,7.28,12.0,2.7,600,4370.0,0,MAHAPEXLTD
2000-02-11,EQ,4.1,4.5,4.1,7.1,4.3,4.3,4.32,12.0,2.7,1100,4750.0,0,MAHAPEXLTD
2000-02-14,EQ,5.0,5.0,5.0,4.3,5.0,5.0,5.0,12.0,2.7,550,2750.0,0,MAHAPEXLTD
2000-02-15,EQ,5.5,5.5,5.5,5.0,5.5,5.5,5.5,12.0,2.7,600,3300.0,0,MAHAPEXLTD
2000-02-16,EQ,7.8,8.2,6.25,5.5,7.5,7.5,7.2,12.0,2.7,5400,38895.0,0,MAHAPEXLTD
2000-02-17,EQ,7.75,8.75,7.75,7.5,8.75,8.75,8.65,12.0,2.7,550,4757.5,0,MAHAPEXLTD
2000-02-29,EQ,9.5,9.5,9.5,8.75,9.5,9.5,9.5,12.0,2.7,100,950.0,0,MAHAPEXLTD
2000-03-09,EQ,9.5,9.5,9.5,9.5,9.5,9.5,9.5,12.0,2.7,600,5700.0,0,MAHAPEXLTD
2000-03-14,EQ,8.0,8.0,8.0,9.5,8.0,8.0,8.0,12.0,2.7,200,1600.0,0,MAHAPEXLTD
2000-03-16,EQ,11.0,11.0,11.0,8.0,11.0,11.0,11.0,12.0,2.7,200,2200.0,0,MAHAPEXLTD
2000-03-21,EQ,10.45,10.45,10.45,11.0,10.45,10.45,10.45,12.0,2.7,500,5225.0,0,MAHAPEXLTD
2000-03-28,EQ,8.0,8.0,8.0,10.45,8.0,8.0,8.0,12.0,2.7,50,400.0,0,MAHAPEXLTD
2000-03-31,EQ,9.7,9.75,9.7,8.0,9.75,9.75,9.72,12.0,2.7,300,2915.0,0,MAHAPEXLTD
2000-04-05,EQ,12.0,12.0,12.0,9.75,12.0,12.0,12.0,12.0,2.7,50,600.0,0,MAHAPEXLTD
