date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-12-27,EQ,422.3,423.0,382.0,321.0,393.9,388.35,403.54,423.0,382.0,13703609,5529922603.5,229727,SANATHAN
2024-12-30,EQ,390.75,391.75,358.8,388.35,367.2,368.1,370.61,423.0,358.8,2018165,747944240.0,47656,SANATHAN
2024-12-31,EQ,375.0,375.05,350.0,368.1,366.0,366.15,360.45,423.0,350.0,1101420,397004383.95,25364,SANATHAN
2025-01-01,EQ,367.0,379.65,360.25,366.15,369.9,367.55,368.11,423.0,350.0,872546,321188621.5,15688,SANATHAN
2025-01-02,EQ,360.2,388.0,360.2,367.55,379.05,379.75,378.95,423.0,350.0,1215579,460642586.05,22666,SANATHAN
2025-01-03,EQ,380.9,389.9,373.1,379.75,379.0,380.1,380.62,423.0,350.0,636944,242435174.4,13313,SANATHAN
2025-01-06,EQ,382.65,382.7,355.45,380.1,363.0,364.55,365.35,423.0,350.0,569788,208169568.4,13294,SANATHAN
2025-01-07,EQ,362.1,369.9,358.25,364.55,366.3,367.3,366.15,423.0,350.0,297453,108912418.35,8100,SANATHAN
2025-01-08,EQ,364.0,368.3,356.0,367.3,357.0,361.2,361.39,423.0,350.0,369725,133613423.1,8493,SANATHAN
2025-01-09,EQ,361.1,363.9,345.15,361.2,355.0,354.85,352.33,423.0,345.15,362115,127583306.25,18338,SANATHAN
2025-01-10,EQ,352.0,354.3,335.1,354.85,342.1,343.4,344.18,423.0,335.1,420457,144712915.0,10699,SANATHAN
2025-01-13,EQ,334.95,341.7,312.0,343.4,325.0,322.4,326.93,423.0,312.0,420112,137345284.15,11770,SANATHAN
2025-01-14,EQ,330.0,336.0,324.0,322.4,331.25,333.95,331.99,423.0,312.0,144251,47889468.7,3638,SANATHAN
2025-01-15,EQ,338.8,354.5,338.8,333.95,351.95,350.7,348.87,423.0,312.0,433749,151322313.85,12370,SANATHAN
2025-01-16,EQ,353.0,368.0,353.0,350.7,360.3,360.15,359.54,423.0,312.0,498654,179285879.7,9196,SANATHAN
2025-01-17,EQ,362.0,365.95,351.35,360.15,365.0,356.1,357.03,423.0,312.0,383026,136751068.6,10760,SANATHAN
