date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2007-12-12,EQ,190.0,190.0,163.05,150.0,164.0,164.9,172.26,190.0,163.05,6206758,1069206058.75,0,RJL
2007-12-13,EQ,166.0,174.4,160.4,164.9,166.05,165.85,167.85,190.0,160.4,1142599,191780050.4,0,RJL
2007-12-14,EQ,168.9,172.5,161.25,165.85,164.0,164.4,167.23,190.0,160.4,435952,72905705.35,0,RJL
2007-12-17,EQ,167.0,167.0,151.0,164.4,155.0,154.25,162.21,190.0,151.0,276197,44801346.25,0,RJL
2007-12-18,EQ,160.0,160.0,149.05,154.25,151.0,150.4,152.38,190.0,149.05,178838,27250764.9,0,RJL
2007-12-19,EQ,160.0,160.0,147.1,150.4,147.6,148.35,151.96,190.0,147.1,90209,13708352.5,0,RJL
2007-12-20,EQ,149.0,150.9,138.0,148.35,138.2,140.0,142.91,190.0,138.0,147427,21069213.0,0,RJL
2007-12-24,EQ,142.0,148.8,136.2,140.0,141.0,142.6,143.47,190.0,136.2,159737,22916852.25,0,RJL
2007-12-26,EQ,143.0,149.0,142.25,142.6,143.9,143.6,145.3,190.0,136.2,99709,14487702.15,0,RJL
2007-12-27,EQ,143.0,148.0,142.6,143.6,146.8,146.25,145.07,190.0,136.2,133548,19373195.35,0,RJL
2007-12-28,EQ,145.0,157.5,144.1,146.25,150.4,151.25,152.31,190.0,136.2,186524,28409993.7,0,RJL
2007-12-31,EQ,153.9,159.8,151.55,151.25,153.4,153.05,154.94,190.0,136.2,180529,27971358.55,0,RJL
2008-01-01,EQ,155.8,159.5,151.3,153.05,158.3,156.8,155.72,190.0,136.2,125040,19471620.1,0,RJL
2008-01-02,EQ,160.0,176.95,156.1,156.8,170.0,170.3,170.04,190.0,136.2,940731,159963979.85,0,RJL
2008-01-03,EQ,167.3,175.6,164.15,170.3,166.5,166.1,170.16,190.0,136.2,515246,87676153.85,0,RJL
2008-01-04,EQ,166.2,174.85,165.0,166.1,165.5,166.25,169.87,190.0,136.2,316610,53782049.1,0,RJL
2008-01-07,EQ,164.0,172.05,164.0,166.25,166.0,166.3,168.78,190.0,136.2,227525,38401815.2,0,RJL
2008-01-08,EQ,168.35,168.35,152.7,166.3,157.0,155.25,159.69,190.0,136.2,135426,21626080.6,0,RJL
2008-01-09,EQ,155.65,155.65,145.0,155.25,145.9,145.8,148.75,190.0,136.2,90494,13460741.1,0,RJL
2008-01-10,EQ,148.5,151.9,141.0,145.8,142.0,142.4,147.73,190.0,136.2,74766,11045549.7,0,RJL
2008-01-11,EQ,145.0,145.0,135.05,142.4,139.5,139.15,138.62,190.0,135.05,57725,8001598.6,0,RJL
2008-01-14,EQ,139.5,147.0,139.5,139.15,141.0,141.95,142.5,190.0,135.05,50820,7241979.95,0,RJL
2008-01-15,EQ,144.45,144.45,136.5,141.95,136.95,137.1,140.28,190.0,135.05,34059,4777750.65,0,RJL
2008-01-16,EQ,137.0,139.8,130.0,137.1,131.0,131.9,133.22,190.0,130.0,31643,4215629.15,0,RJL
2008-01-17,EQ,132.1,139.5,131.0,131.9,139.45,137.55,136.52,190.0,130.0,41156,5618587.6,0,RJL
2008-01-18,EQ,135.25,139.7,129.0,137.55,129.5,130.3,135.18,190.0,129.0,29260,3955310.3,0,RJL
